source_media_id,ref_media_id,link_count
278493,57626,5
23248,100063,1
67264,271589,3
105253,39872,2
1671092,39784,2
282840,39872,9
67799,17973,1
6218,25216,1
27502,278493,1
283414,1095,1
18370,39784,17
18370,1671092,1
26164,56899,1
278493,39886,1
278493,105253,1
28777,19341,2
282820,282884,2
1671092,562345,2
110253,56177,3
55376,56899,2
262590,18346,2
57302,62960,1
18370,18710,1
110253,1852190,1
23248,880013,1
110253,283464,2
42156,18346,12
570336,18362,2
282927,18346,65
27502,39872,3
570336,561011,1
282820,18346,35
28777,100063,3
282983,40306,1
283750,110253,1
119703,1149,1
474661,18362,2
1,56899,1
282820,1095,5
282820,181566,1
67799,1095,2
28777,1765244,2
283066,57626,1
570336,1095,1
28777,258176,1
415736,39872,1
110253,39966,1
32434,1095,2
283414,100063,2
18346,110253,1
105253,67799,2
282811,56899,1
28777,537358,1
18370,282896,2
271154,56899,2
283414,56177,1
282911,278493,2
23248,109735,1
282840,56899,10
83188,26164,1
278493,4442,2
18370,67224,1
2,39872,1
283014,56177,2
282927,1753882,1
262590,283435,1
105253,55376,5
767113,39886,1
570336,40306,2
282840,27502,1
283414,537358,6
27502,17973,3
262590,282927,1
39784,17973,1
278493,67799,2
57302,67799,3
271154,23248,1
57302,63125,2
28777,271154,6
119703,17973,3
282840,40306,12
18370,67989,3
67264,100063,1
465432,28777,1
474661,278493,3
282820,282927,1
67799,282811,2
283014,283435,1
1853984,1342372,1
283414,17973,15
570336,57626,2
1156633,100063,1
1342364,110253,2
262590,278493,3
278493,283616,1
282983,56899,3
282927,271589,2
18370,306605,1
283014,17973,2
18370,1524205,1
26164,388887,1
110253,1853984,1
6218,623382,1
67264,278493,1
67224,56177,1
271154,39784,1
119703,18346,1
28777,283425,1
110253,1156633,1
282927,121578,2
1853980,110253,1
283414,67799,5
282983,282896,1
282983,56177,2
1671092,56899,1
282911,39872,3
282884,18346,7
282809,56899,2
110253,1095,2
28777,887332,1
278493,18362,1
18370,67799,8
104828,1752,2
110253,18346,63
283750,300411,1
18370,415736,1
278493,283014,2
259428,271589,1
282927,282890,1
18370,57626,9
282840,278493,10
28777,40306,7
39784,56899,1
18370,39609,1
105253,283526,1
283414,57626,1
474661,17973,1
6218,311684,1
282820,1478139,1
110253,278493,4
69105,1642485,3
54346,121578,1
28777,1095,6
105253,1853985,1
570336,56177,2
2,28777,1
311684,259428,1
56758,67799,1
1671092,40306,1
28777,208629,2
67264,110253,10
28777,65449,1
283435,282884,1
18370,283382,2
278493,767113,2
388615,63125,1
110253,17973,55
105253,39247,1
110253,41238,1
283750,258176,1
18370,537358,1
283414,56899,4
282927,18362,2
681741,283382,1
278493,283464,1
18370,623382,3
282983,41238,2
283066,39872,1
465432,27502,1
208629,1342317,5
105253,283382,1
282840,63125,1
262590,282884,1
23248,63125,1
67224,65449,1
278493,100063,4
2,18346,1
300003,887332,5
24099,906101,1
258176,18362,4
767113,56899,1
283414,1767364,1
283414,844293,1
283470,18346,12
282884,41238,1
39966,17973,1
283014,235764,1
570336,18346,3
110253,388887,2
282927,65929,2
282911,56177,1
23248,181566,1
105253,67989,1
105253,559894,1
282840,55376,2
18370,39247,2
136476,39886,1
282927,28777,4
18370,1311651,1
311684,67264,1
67224,1,1
67224,1385564,1
18370,258176,2
282820,282896,2
282840,110253,3
278493,39247,1
18346,283464,1
18346,4442,1
283414,39784,4
283414,282884,1
282820,63125,1
39886,18346,8
767113,39872,1
110253,63125,17
55632,18346,1
41238,39784,8
39872,1342344,2
278493,623382,1
18370,19233,111
474661,110253,1
570336,39872,6
110253,67799,3
271162,282896,1
28777,39886,2
1342364,415736,1
110253,104828,1
282927,1385564,1
282927,39872,9
1853984,1354298,1
278493,887332,1
1342364,56177,1
67264,18362,1
283066,67799,1
474661,39247,2
105253,1200770,2
282820,1853984,1
278493,285226,1
283414,39247,1
283414,388887,1
110253,1442388,1
311684,1200770,1
83188,1721,1
282820,41238,2
28777,39784,13
311684,61164,1
282809,283465,1
415736,282927,1
23248,282896,2
104828,1095,1
105253,351980,1
105253,118863,1
283414,18362,1
39784,18346,1
282840,1853988,1
282811,17973,1
57626,1095,1
282820,57626,2
1,278493,2
28777,271589,1
23248,6858,2
570336,63125,4
54346,1095,1
282840,1156633,2
67264,40306,2
57302,283435,4
282927,4442,1
105253,258176,1
18370,266951,1
18370,245499,1
18370,39886,3
1671092,100063,1
570336,283382,2
110253,56899,51
465432,271154,1
105253,271154,1
39784,4442,1
24099,39784,1
1280228,17973,1
278493,570336,5
110253,55376,2
67264,56899,5
271157,1795877,1
262590,570336,2
282927,296392,1
282983,57626,3
283021,4442,1
1853984,136476,1
282911,1783999,1
23248,271154,1
278493,283619,2
18370,1149,1
283750,62266,1
282983,67799,1
415736,18362,1
283382,67799,8
28777,65929,3
282911,388887,1
415736,110253,1
282820,100063,1
282840,623419,1
282820,1149,1
282840,20775,2
282927,282896,1
18370,110253,4
259428,56899,1
18370,282871,1
282820,283435,1
282811,39872,2
104828,283464,4
283414,1342317,1
259428,17973,1
110253,40306,18
887332,56899,2
19341,39872,1
282840,57302,1
19341,283066,1
57302,973750,1
1765244,41238,1
282884,67989,4
262590,285226,1
110253,283066,3
136476,840020,1
278493,65929,2
283750,570336,2
23248,39784,1
282820,55376,1
282983,570336,2
283014,40306,3
311684,623382,1
887332,2,1
282820,2,1
25488,54346,1
110253,285226,5
28777,570336,10
278493,23248,3
104828,56899,1
570336,56899,10
570336,1280228,1
1853984,278493,1
278493,56177,1
67799,56899,2
110253,1280228,3
278493,262590,1
570336,1853980,1
283414,39872,14
105253,40306,4
23248,67799,1
18370,1,2
1342364,271154,1
262590,1615860,1
283414,18346,14
105253,250219,1
18370,271170,1
262590,40306,3
1342364,39784,3
681741,39784,1
282840,1389568,2
239573,17973,1
18370,105253,1
282811,18362,1
17973,1835594,7
282927,285226,4
283014,39872,7
67264,17973,5
245499,18346,1
18346,282896,1
110253,906101,1
1752,39966,2
1110,1,1
28777,474661,1
67799,100063,1
18370,388887,2
67799,18346,4
67264,4442,1
1835594,17973,8
311684,4442,1
681741,56899,1
283066,40306,1
24099,285226,1
282927,63080,1
282840,65449,4
283414,258176,1
282840,56177,1
39966,56899,1
110253,54346,1
110253,61164,1
283414,1318606,4
67264,67799,1
278493,283435,2
105253,41238,3
18370,63125,4
278493,39784,7
278493,40306,13
282927,23248,5
262590,39872,3
282811,39784,1
311684,278493,2
570336,69105,1
283021,18346,2
1110,55376,1
18370,100063,4
67264,63125,1
262590,282896,1
465432,40306,2
18370,1097,1
110253,1094,6
28777,1835594,1
18370,17973,15
262590,415736,2
681741,271589,1
283014,67799,2
465432,283066,1
1671092,39872,1
28777,1342372,1
282840,1200770,1
245499,562670,1
311684,1094,1
278493,110253,4
67799,39784,1
271154,18346,1
283066,17973,1
282884,56899,2
282983,136476,1
282927,271154,1
110253,282884,10
283414,271162,1
282840,1342372,2
282820,40306,6
258176,282884,1
105253,271589,1
278493,41238,1
262590,271589,1
2,570336,1
282983,282884,1
282820,18362,1
278493,282884,7
28777,41238,1
415692,1853992,1
282927,56177,4
105253,18346,1
57302,56758,1
282840,570336,12
1200770,17973,1
282820,56899,15
282983,39886,2
271154,17973,4
18370,271589,2
283414,570336,5
56758,69105,1
283457,18346,1
28777,282884,9
40306,39784,1
282927,67799,9
1853980,1721,1
283750,40306,1
40306,366162,1
105253,39886,1
282911,105253,1
282840,262590,1
18370,283619,1
28777,285226,2
1853984,57626,3
67264,39872,6
105253,63125,1
28777,39872,26
27502,63125,2
283021,40306,1
18370,56899,18
110253,415736,5
54346,4442,1
105253,57626,2
767113,278493,1
57626,18346,1
282820,39872,7
18370,1094,1
20153,278493,1
110253,189910,1
282820,23248,2
28777,67989,1
282927,39784,10
1853984,69105,1
278493,63125,2
54346,1280228,2
1853984,40306,1
1342364,39872,1
283414,65449,2
104828,282811,1
18370,262590,3
283414,271589,5
282927,17973,1
1,285226,1
282820,69105,1
56899,63125,4
1767364,67799,1
283750,20153,1
110253,259428,2
54346,67264,1
1342364,55376,1
28777,23248,7
56758,38821,1
105253,1095,2
282820,537358,1
18370,121578,3
283014,906101,1
283014,1370513,1
67799,283382,5
282927,40306,2
415736,56899,1
887332,1095,1
136476,67799,4
570336,121578,1
105253,285226,2
1,67264,1
1342364,63125,3
28777,283382,2
1110,259428,1
1342364,28777,1
415736,271157,1
570336,19341,2
282840,537358,2
278493,39872,11
105253,887332,15
278493,56899,26
39966,4419,1
282840,18346,1
110253,39872,36
18370,23248,2
28777,239573,3
283014,19341,1
17973,25499,1
282983,65929,1
282840,1094,1
104828,39784,3
1767364,283414,1
110253,23248,12
283414,282871,2
18370,23163,1
283414,39886,1
570336,285226,1
2,39784,1
18710,1150,1
278493,6858,3
278493,415736,8
282983,651050,1
283021,39872,5
54346,17973,1
570336,278493,2
1853980,26164,1
282983,39784,7
1342364,388887,1
282820,136476,1
110253,18362,2
282820,17973,12
67264,39784,4
282927,570336,2
110253,6218,1
2,262590,1
28777,18362,1
1741277,39784,1
1,57626,1
104828,39872,4
110253,258176,2
110253,1342364,21
282927,561011,12
18370,41238,6
1765244,40306,1
27502,41238,1
283414,69105,1
474661,56899,3
18370,39966,1
18370,69105,3
1280228,278493,1
119703,271589,1
57302,40306,1
55376,278493,1
282927,56899,6
57302,570336,3
23248,282927,1
278493,366191,1
282840,283464,2
1342364,17973,4
282927,69105,1
23248,283014,1
1853984,56899,1
282820,67799,9
56758,56899,1
1765244,56177,1
57302,887332,1
282820,283014,4
271162,18346,72
887332,283382,1
105253,110253,1
570336,282884,1
136476,537358,1
282927,1095,1
39609,18346,1
282840,1,2
39966,415692,1
1342364,283435,1
18370,681741,1
136476,23248,1
6858,100063,2
28777,105253,3
23248,39872,1
282983,69105,1
6218,67264,1
23248,57626,1
278493,181566,1
283414,271157,2
1,110253,2
105253,69105,2
18370,278493,7
105253,278493,3
67224,1853991,1
105253,282884,2
278493,283382,2
282927,136476,1
1342364,56899,4
278493,1342317,1
105253,259428,1
282983,39872,5
19233,570336,3
18370,28777,2
681741,283464,1
110253,388615,1
83188,351980,1
28777,56899,28
67799,39872,3
18370,40306,14
1853984,271157,1
283414,388765,1
1342364,18346,1
570336,39784,4
110253,28777,2
27502,56899,1
282911,623419,1
56177,1280228,1
110253,282896,4
110253,39784,10
2,40306,1
110253,271589,1
23248,17973,2
28777,57626,5
67799,282871,3
282820,39784,10
1110,283464,1
18370,19341,4
110253,262590,4
136476,17973,2
2,56899,1
18346,39784,1
282820,28777,2
1389568,767620,3
570336,282809,1
1671092,39247,1
283469,262590,1
110253,570336,4
1853984,18346,1
18370,282811,1
282840,181566,1
311684,39872,1
25488,67799,1
887332,282896,1
283066,56899,1
282927,282884,4
262590,1765244,1
28777,278493,3
283014,1095,1
67224,56899,1
474661,39784,2
67799,283014,1
283014,39784,3
282811,110253,1
271154,65449,1
136476,39872,1
282911,100063,1
54346,262590,1
282840,271589,1
105253,56899,12
1853984,1853990,1
18370,282884,1
1671092,56177,1
282820,105360,1
388615,271589,1
283014,18346,14
282927,537358,2
415736,63125,2
271154,906101,1
283014,63125,1
42156,1095,3
282811,18346,1
282840,19341,4
271154,56177,1
18370,40508,1
67264,283464,1
110253,623382,1
67264,1342364,1
119703,283750,1
271589,18346,2
258176,100063,1
57302,6858,1
767620,40306,1
283750,561011,1
283414,23248,7
105253,100063,1
104828,1154,2
110253,283435,2
278493,1095,3
19233,56899,3
28777,17973,20
282820,258176,1
1752,39872,2
18370,570336,10
18370,887332,1
282927,100063,1
271154,19341,2
283414,208629,1
105253,415736,2
83188,2,1
2,67799,1
110253,39247,1
283014,100063,1
39422,322896,1
262590,67799,4
283014,41238,4
57302,56177,1
570336,282871,1
136476,322896,1
18370,56177,4
262590,39784,2
1389568,40306,1
283414,561011,10
1149,39872,1
136476,18346,1
282840,45727,2
18370,283464,4
18370,18362,2
27502,110253,1
18370,39872,17
880013,1095,1
282820,39247,2
262590,259428,3
26164,40306,1
282820,282811,1
283414,282927,1
887332,17973,1
282820,283382,1
282840,17973,8
54346,67799,1
283414,40306,6
57302,56899,2
282927,41238,2
28777,189910,1
262590,56899,7
23248,282811,1
278493,561011,1
282927,282811,1
282840,100063,2
104828,39966,1
570336,17973,5
282840,41238,2
278493,19341,3
56758,278493,2
105253,570336,1
1615860,570336,1
282840,67799,15
39784,1110,2
282911,570336,1
104828,570336,1
283014,282811,2
28777,69105,2
282820,570336,4
136476,285226,1
57302,100063,1
105253,19341,1
282840,23248,2
6218,2,2
57302,282884,1
282840,282884,1
570336,67989,1
39784,1150,2
105253,39784,8
283014,570336,1
28777,18346,53
110253,100063,6
2,18362,1
57302,19341,1
262590,1783999,1
24099,415736,1
278493,17973,11
283414,1697417,1
57302,18370,1
57302,55376,1
136476,56899,1
282840,39784,12
271154,41238,1
18370,109735,1
271154,286030,1
282911,67799,1
17973,880013,1
57302,1692026,1
18370,351980,2
282927,57626,4
278493,973750,1
17973,973642,1
623382,1,1
6858,282884,2
283014,56899,3
283414,283382,2
23248,283750,1
2,67264,1
282809,570336,1
887332,39784,2
54346,91768,1
282911,56899,2
278493,1,3
57302,278493,4
1,63125,1
282927,18370,1
262590,18362,4
2,83188,1
56758,18362,1
283750,39872,1
283014,110253,1
283021,67799,1
880013,239573,2
27502,465432,1
18710,271589,1
271154,39872,1
283014,203263,1
105253,17973,4
110253,266951,1
67264,1280228,1
262590,537358,1
19233,282896,1
262590,100063,1
105253,56177,3
283021,235676,1
28777,282896,1
110253,57626,8
57302,134011,1
54346,105253,1
18370,136476,1
67264,39886,1
282911,110253,1
282811,282927,1
28777,18710,1
18370,888288,1
136476,39784,1
25488,91768,1
283014,57626,2
54346,278493,3
283435,278493,2
282820,110253,2
282911,283021,1
67799,258176,1
1095,18346,1
19233,415736,1
213083,258176,1
465432,1342372,1
282840,105253,2
887332,39886,1
28777,1741277,1
104828,18346,2
283414,41238,2
570336,283464,1
282983,18346,4
62776,1280228,1
28777,136476,1
283414,172136,2
282927,6858,1
28777,56177,5
282820,415736,8
278493,18346,13
28777,67799,11
1095,6858,1
283014,278493,1
104828,4442,1
